Property_type,Description,Location,Price,Features
Casa en venta,Vendo Casamapu Tierraadentro Barichara,"Barrio Tierra Adentro, Barichara, Santander",350000000 pesos,"['144 m² cubiertos', '3 habs.']"
Casa en venta,Vendo casa Conjunto Residencial La Pera- Cañaveral,"Floridablanca, Santander",950000000 pesos,"['336 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta Apartamento Barrio San Francisco Usado,"San Francisco, Bucaramanga, Santander",280000000 pesos,"['75 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Vendo Lote Urbano Barichara - Via Puente Grande,"Centro Historico, Barichara, Santander",100000000 pesos,['126 m² totales']
Apartamento en venta,Venta Apartamentos Vivienda De Interes Social Barro Blanco Pta,"Barro Blanco, Piedecuesta, Santander",140000000 pesos,"['50 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Edificio Soleri,"12 De Octubre, Bucaramanga, Santander",135000000 pesos,"['60 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Floridablanca Cañaveral,"Floridablanca, Santander",1300000000 pesos,"['350 m² cubiertos', '3 habs.']"
Casa en venta,Se Vende Casa Con Local Comercial,"Comuneros, Bucaramanga, Santander",320000000 pesos,"['120 m² cubiertos', '5 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Francisco,"San Francisco, Bucaramanga, Santander",132000000 pesos,"['65 m² cubiertos', '2 habs.']"
Casa en venta,Casa Campestre En Venta En Piedecuesta Barroblanco,"Piedecuesta, Santander",1100000000 pesos,"['380 m² cubiertos', '5 habs.']"
Casa en venta,Casa En Venta En Piedecuesta Junin,"Piedecuesta, Santander",350000000 pesos,"['134 m² cubiertos', '4 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Canaveral,"Floridablanca, Santander",250000000 pesos,"['90 m² cubiertos', '3 habs.']"
Apartamento en venta,Conjunto Multifamiliar Vista Azul,"Palomitas, Floridablanca, Santander",380000000 pesos,"['125 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Conjunto Multifamiliar Diamante Ii,"12 De Octubre, Bucaramanga, Santander",220000000 pesos,"['108 m² cubiertos', '3 habs.']"
Casa en venta,Casa La Florida 2,"Floridablanca, Floridablanca, Santander",398000000 pesos,"['200 m² cubiertos', '4 habs.']"
Apartamento en venta,Venta Apartamentos Entrega Inmediata Barrio Alarcon,"Alarcón, Bucaramanga, Santander",253000000 pesos,"['73 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta Apartamentos Sobre Planos Pan De Azucar Bucaramanga,"Los Cedros, Bucaramanga, Santander",411472059 pesos,"['80 m² cubiertos', '3 habs.']"
Casa en venta,Vendo Casa Tierraadentro Barichara,"Zona Periferica De Barichara  Entre 0 - 1 Km, Barichara, Santander",220000000 pesos,"['120 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Fontana,"12 De Octubre, Bucaramanga, Santander",310000000 pesos,"['120 m² cubiertos', '5 habs.']"
Apartamento en venta,Conjunto Residencial Sacromonte,"Abadias, Floridablanca, Santander",250000000 pesos,"['74 m² cubiertos', '3 habs.']"
Casa en venta,Casa En  Lagos Del Cacique Rah Co: 22-1476,"Lagos Del Cacique, Bucaramanga, Santander",2500000000 pesos,"['700 m² cubiertos', '6 habs.']"
Casa en venta,Venta Hermosa Casa Campestre En Piedecuesta Santander,"Vereda Colorados, Piedecuesta, Santander",1259270236 pesos,"['495 m² cubiertos', '4 habs.']"
Apartamento en venta,Se Vende Apartamento En Santiago De Los Caballeros (el Prado),"El Prado, Bucaramanga, Santander",190000000 pesos,"['69 m² cubiertos', '2 habs.']"
Casa en venta,Casa En Venta En Bucaramanga El Tejar,"12 De Octubre, Bucaramanga, Santander",1700000000 pesos,"['125 m² cubiertos', '4 habs.']"
Apartamento en venta,Se Vende Apartamento En Portal Del Bosque,"Limoncito, Floridablanca, Santander",165000000 pesos,"['52 m² cubiertos', '2 habs.']"
Casa en venta,Casa En  Vereda Mesa De Los Santos Rah Co: 22-1478,"Vereda La Mesa, Piedecuesta, Santander",800000000 pesos,"['450 m² cubiertos', '5 habs.']"
Lote y casalote en venta,Vendo Parcela Losacacios Barichara,"Zona Periferica De Barichara Entre 1 - 3 Km, Barichara, Santander",200000000 pesos,"['10,787 m² totales']"
Finca en venta,Venta Finca Lastapias Barichara,"Vía Guane, Barichara, Santander",3000000000 pesos,"['500,000 m² cubiertos', '5 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Cabecera,"Bucaramanga, Santander",1100000000 pesos,"['770 m² cubiertos', '5 habs.']"
Casa en venta,Casa En Venta En Los Santos Mesa De Los Santos,"Los Santos, Santander",2350000000 pesos,"['16,000 m² cubiertos', '10 habs.']"
Local en venta,Local En Venta En Bucaramanga Centro,"12 De Octubre, Bucaramanga, Santander",50000000 pesos,"['20 m² cubiertos', '1 hab.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Francisco,"12 De Octubre, Bucaramanga, Santander",110000000 pesos,"['35 m² totales', '1 hab.']"
Apartamento en venta,Se Vende Apartamento Duplex Edificio El Campanario,"La Floresta, Bucaramanga, Santander",355000000 pesos,"['86 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Concordia,"12 De Octubre, Bucaramanga, Santander",155000000 pesos,"['65 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartamento En Venta En Piedecuesta Palermo,"Piedecuesta, Santander",105000000 pesos,"['65 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Venta Lote En Barichara - Sector Hospital,"Centro Historico, Barichara, Santander",180000000 pesos,['395 m² totales']
Finca en venta,Barichara Santander Lote 4.552m2,"Barichara, Santander",450000000 pesos,"['200 m² cubiertos', '2 habs.']"
Casa en venta,Vendo Casa En Urb Altos Del Cacique Barrio Lagos Del Cacique,"Lagos Del Cacique, Bucaramanga, Santander",800000000 pesos,"['250 m² cubiertos', '4 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Heroes,"12 De Octubre, Bucaramanga, Santander",330000000 pesos,"['226 m² cubiertos', '7 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Aurora,"12 De Octubre, Bucaramanga, Santander",270000000 pesos,"['106 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Bolivar,"12 De Octubre, Bucaramanga, Santander",230000000 pesos,"['100 m² cubiertos', '4 habs.']"
Apartamento en venta,Apartamento En Venta En Piedecuesta Bosque De Piedecuesta,"Piedecuesta, Santander",165000000 pesos,"['73 m² cubiertos', '3 habs.']"
Casa en venta,Casa Campestre Via Piedecuesta,"Piedecuesta, Santander",980000000 pesos,"['260 m² cubiertos', '3 habs.']"
Finca en venta,Vendo Fk Ganadera Por Cimitarra 230 Has Jurisd Pto Araujo,"Puerto Araujo, Cimitarra, Santander",1840000000 pesos,['300 m² cubiertos']
Apartamento en venta,Venta Apto 306 Torre 4 Balcones De Ruitoque Floridablanca Santander,"Ruitoque, Floridablanca, Santander",274809968 pesos,"['94 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Los Pinos,"12 De Octubre, Bucaramanga, Santander",750000000 pesos,"['168 m² cubiertos', '5 habs.']"
Apartamento en venta,Se Vende Apartamento En Paralela 150,"Autopista Floridablanca, Floridablanca, Santander",270000000 pesos,"['72 m² cubiertos', '3 habs.']"
Apartamento en venta,Proyecto Reserva Cañaveral,"Palomitas, Floridablanca, Santander",235000000 pesos,"['57 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Cañaveral,"Floridablanca, Santander",350000000 pesos,"['94 m² cubiertos', '3 habs.']"
Casa en venta,Se Vende Casa Lote En Vereda Palonegro,"Lebrija, Santander",360000000 pesos,"['3,417 m² cubiertos', '2 habs.']"
Apartamento en venta,Se Vende Apartamento  En Edificio El Campanario,"La Floresta, Bucaramanga, Santander",210000000 pesos,"['46 m² cubiertos', '2 habs.']"
Casa en venta,Venta Casa En Barichara - Casa Tradicional,"Centro Historico, Barichara, Santander",1100000000 pesos,"['500 m² cubiertos', '5 habs.']"
Casa en venta,Casa En Venta En Piedecuesta Nueva Candelaria,"Piedecuesta, Santander",280000000 pesos,"['100 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Real De Minas,"12 De Octubre, Bucaramanga, Santander",320000000 pesos,"['180 m² cubiertos', '5 habs.']"
Casa en venta,Vendo Casa El Patio Barichara - Centro Historico,"Centro Historico, Barichara, Santander",1000000000 pesos,['274 m² cubiertos']
Apartamento en venta,Apartaestudio En Venta En Bucaramanga San Francisco,"12 De Octubre, Bucaramanga, Santander",130000000 pesos,"['40 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartamento En Venta En Piedecuesta Junin,"Piedecuesta, Santander",115000000 pesos,"['60 m² cubiertos', '3 habs.']"
Apartamento en venta,Conjunto Residencial El Zulua,"El Prado, Bucaramanga, Santander",210000000 pesos,"['51 m² cubiertos', '2 habs.']"
Apartamento en venta,Se Vende Apartamento En San Lorenzo Reserva,"Provenza, Bucaramanga, Santander",260000000 pesos,"['77 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Centro,"12 De Octubre, Bucaramanga, Santander",125000000 pesos,"['67 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Lote Mesa De Los Santos,"Mesa De Los Santos, Los Santos, Santander",90000000 pesos,"['2,300 m² totales']"
Finca en venta,"Finca En Venta En Lebrija, Santander 22-1504 C.o","Vereda Lebrija, Lebrija, Santander",500000000 pesos,"['4,785 m² cubiertos']"
Casa en venta,Casa En Venta En Floridablanca Palomitas-terragona,"Floridablanca, Santander",230000000 pesos,"['130 m² cubiertos', '4 habs.']"
Lote y casalote en venta,En Venta Lote Esquinero Acapulco Ruitoque Bajo,"Acapulco, Girón, Santander",165000000 pesos,['500 m² totales']
Lote y casalote en venta,Lote En Venta En Floridablanca Bosques De Ruitoque Bajo,"Floridablanca, Santander",470000000 pesos,['600 m² cubiertos']
Casa en venta,Casa En Venta En García Rovira,"García Rovira, Bucaramanga, Santander",310000000 pesos,"['208 m² cubiertos', '5 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Fontana,"12 De Octubre, Bucaramanga, Santander",380000000 pesos,"['110 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Vendo Lote Cond.bucaregua Barichara Bagari,"Bagari, Barichara, Santander",170000000 pesos,['240 m² totales']
Apartamento en venta,Venta Apartamentos Bucaramanga Barrio Comuneros,"Comuneros, Bucaramanga, Santander",204000000 pesos,"['62 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Piedecuesta Conjunto Miraflores,"Piedecuesta, Santander",120000000 pesos,"['50 m² totales', '2 habs.']"
Edificio en venta,Edificio En Venta En Bucaramanga Nuevo Sotomayor,"Sotomayor, Bucaramanga, Santander",4200000000 pesos,"['1,100 m² cubiertos', '24 habs.']"
Lote y casalote en venta,Lote En Venta En Floridablanca Via El Santísimo,"Floridablanca, Santander",150000000 pesos,['400 m² cubiertos']
Finca en venta,Finca Hidrosogamoso Bucaramanga Santander,"Bucaramanga, Santander",1400000000 pesos,"['100 m² cubiertos', '5 habs.']"
Casa en venta,Venta Casa Lote En Acapulco,"Ruitoque, Floridablanca, Santander",350000000 pesos,"['207 m² cubiertos', '8 habs.']"
Lote y casalote en venta,Lote En Venta En Bucaramanga Morrorico,"12 De Octubre, Bucaramanga, Santander",45000000 pesos,['87 m² cubiertos']
Apartamento en venta,Apartamento En Venta En Bucaramanga El Prado,"12 De Octubre, Bucaramanga, Santander",240000000 pesos,"['75 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga La Aurora,"12 De Octubre, Bucaramanga, Santander",175000000 pesos,"['58 m² cubiertos', '2 habs.']"
Apartamento en venta,Uno De Los Mejores Penthouse De Bucaramanga,"Cabecera Del Llano, Bucaramanga, Santander",770000000 pesos,"['192 m² cubiertos', '3 habs.']"
Casa en venta,Casa-local En Venta En Bucaramanga El Prado,"12 De Octubre, Bucaramanga, Santander",1500000000 pesos,"['375 m² cubiertos', '20 habs.']"
Casa en venta,Casa En Venta En Floridablanca Las Villas,"Floridablanca, Santander",159000000 pesos,"['93 m² cubiertos', '6 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga El Prado,"El Prado, Bucaramanga, Santander",380000000 pesos,"['129 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Lagos 1,"Floridablanca, Santander",260000000 pesos,"['140 m² cubiertos', '5 habs.']"
Apartamento en venta,Venta Apartamento En Conjunto Paralela 150,"Autopista Floridablanca, Floridablanca, Santander",260000000 pesos,"['69 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Piedecuesta Conjunto Arboreto,"Piedecuesta, Santander",200000000 pesos,"['70 m² cubiertos', '3 habs.']"
Casa en venta,Casa En  Vereda Los Colorados Rah Co: 22-1487,"Vereda Los Colorados, Piedecuesta, Santander",800000000 pesos,"['250 m² cubiertos', '4 habs.']"
Apartamento en venta,Se Vende Apartamento En Bosques De San Sebastian,"Giron, Girón, Santander",135000000 pesos,"['60 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Vendo Lote El Molino Barichara,"Zona Periferica De Barichara  Entre 0 - 1 Km, Barichara, Santander",70000000 pesos,['140 m² totales']
Apartamento en venta,Apartamento En Venta En Bucaramanga El Rocio,"12 De Octubre, Bucaramanga, Santander",220000000 pesos,"['80 m² cubiertos', '3 habs.']"
Apartamento en venta,"En Venta Apartamento Oasis De Mardel, Real De Minas Bucaramanga","Real De Minas, Bucaramanga, Santander",285000000 pesos,"['84 m² cubiertos', '3 habs.']"
Casa en venta,En Venta Hermosa Casa En Piedecuesta Conjunto Cerrado,"Bucaramanga, Santander",370000000 pesos,"['180 m² cubiertos', '5 habs.']"
Finca en venta,Venta Finca En Barichara - Guayubí 2,"Vía Guane, Barichara, Santander",1325000000 pesos,"['530,000 m² cubiertos', '2 habs.']"
Lote y casalote en venta,Venta Lote En Ruitoque,"Ruitoque, Piedecuesta, Santander",255000000 pesos,"['1,336 m² totales']"
Apartamento en venta,Conjunto Residecial San Telmo,"Palomitas, Floridablanca, Santander",310000000 pesos,"['91 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo apartamento Edificio Platinium- Bucaramanga,"Bucaramanga, Santander",280000000 pesos,"['80 m² cubiertos', '3 habs.']"
Apartamento en venta,Vendo Excelente  apartamento Edificio Rayenari-- Floridablanca,"Floridablanca, Santander",175000000 pesos,"['62 m² cubiertos', '3 habs.']"
Apartamento en venta,Venta Apto 301 Torre 3 Balcones De Ruitoque Floridablanca Santander,"Ruitoque, Floridablanca, Santander",271799063 pesos,"['94 m² cubiertos', '3 habs.']"
Apartamento en venta,En Venta Apartamento Rayenery De La Florida,"Floridablanca, Santander",180000000 pesos,"['62 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Alarcon,"12 De Octubre, Bucaramanga, Santander",215000000 pesos,"['103 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga La Aurora,"12 De Octubre, Bucaramanga, Santander",230000000 pesos,"['89 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Bucaramanga La Universidad,"12 De Octubre, Bucaramanga, Santander",650000000 pesos,"['180 m² cubiertos', '10 habs.']"
Lote y casalote en venta,Lote En Venta En Giron Vereda Bajo Ruitoque,"Girón, Santander",950000000 pesos,"['350 m² cubiertos', '4 habs.']"
Casa en venta,Hermosa Casa De Dos Pisos Central,"Cristales, Socorro, Santander",180000000 pesos,"['120 m² cubiertos', '4 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga La Victoria,"12 De Octubre, Bucaramanga, Santander",165000000 pesos,"['70 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Francisco,"San Francisco, Bucaramanga, Santander",250000000 pesos,"['77 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Antonia Santos,"12 De Octubre, Bucaramanga, Santander",240000000 pesos,"['70 m² cubiertos', '2 habs.']"
Casa en venta,Vendo  excelente Casa Versalle 2 - Cañaveral,"Floridablanca, Santander",380000000 pesos,"['130 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Venta  Lote En  Barichara - Villa Don Juan,"Zona Rural, Barichara, Santander",150000000 pesos,"['3,081 m² totales']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Campo Hermoso,"12 De Octubre, Bucaramanga, Santander",200000000 pesos,"['80 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga El Prado,"12 De Octubre, Bucaramanga, Santander",280000000 pesos,"['86 m² cubiertos', '2 habs.']"
Casa en venta,Casa Campestre En Venta En Piedecuesta Vda La Mata Barrio Manzanares Casa Campestre Villa,"Piedecuesta, Santander",1800000000 pesos,"['650 m² cubiertos', '4 habs.']"
Apartamento en venta,En Venta Apartamento Cañaveral Belhorizonte Floridablanca Santander,"Cañaveral, Floridablanca, Santander",258000000 pesos,"['96 m² cubiertos', '4 habs.']"
Apartamento en venta,Apartaestudio En Venta En Bucaramanga San Francisco,"12 De Octubre, Bucaramanga, Santander",120000000 pesos,"['35 m² cubiertos', '1 hab.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Nuevo Sotomayor,"12 De Octubre, Bucaramanga, Santander",300000000 pesos,"['90 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Cañaveral,"Floridablanca, Santander",330000000 pesos,"['80 m² cubiertos', '3 habs.']"
Apartamento en venta,vendo  apartamento Condominio Ventus- Cañaveral,"Floridablanca, Santander",460000000 pesos,"['100 m² cubiertos', '3 habs.']"
Casa en venta,Se Vende Casa Reformada En Molinos Bajos,"Molinos Bajos, Floridablanca, Santander",380000000 pesos,"['175 m² cubiertos', '5 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Campo Hermoso,"12 De Octubre, Bucaramanga, Santander",125000000 pesos,"['65 m² cubiertos', '3 habs.']"
Casa en venta,Vendo casa Calle 200 - Floridablanca,"Floridablanca, Santander",280000000 pesos,"['140 m² cubiertos', '2 habs.']"
Apartamento en venta,"En Venta Apartamento Conjunto El Cielo, San Francisco Bucaramanga","San Francisco, Bucaramanga, Santander",195000000 pesos,"['67 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Vendo Lote Urbano Barichara - Barrio Centro,"Centro Historico, Barichara, Santander",250000000 pesos,['208 m² totales']
Apartamento en venta,Apartamento En Venta En Girón Morada De San Juan,"Girón, Santander",150000000 pesos,"['82 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Altos De Cabecera,"12 De Octubre, Bucaramanga, Santander",720000000 pesos,"['136 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Provenza,"12 De Octubre, Bucaramanga, Santander",660000000 pesos,"['350 m² totales', '8 habs.']"
Apartamento en venta,Se Vende Apartamento En Edificio Romneya,"San Alonso, Bucaramanga, Santander",219000000 pesos,"['59 m² cubiertos', '2 habs.']"
Apartamento en venta,Venta Apartamentos Bucaramanga Barrio Ricaurte Real De Minas,"Real De Minas, Bucaramanga, Santander",245000000 pesos,"['67 m² cubiertos', '3 habs.']"
